Country{code=ATG, name=Antigua and Barbuda, continent=NORTH_AMERICA, region=Caribbean, population=68000, capital=Saint John´s}
Country{code=BMU, name=Bermuda, continent=NORTH_AMERICA, region=North America, population=65000, capital=Hamilton}
Country{code=MHL, name=Marshall Islands, continent=OCEANIA, region=Micronesia, population=64000, capital=Dalap-Uliga-Darrit}
Country{code=GRL, name=Greenland, continent=NORTH_AMERICA, region=North America, population=56000, capital=Nuuk}
Country{code=FRO, name=Faroe Islands, continent=EUROPE, region=Nordic Countries, population=43000, capital=Tórshavn}
Country{code=CYM, name=Cayman Islands, continent=NORTH_AMERICA, region=Caribbean, population=38000, capital=George Town}
Country{code=KNA, name=Saint Kitts and Nevis, continent=NORTH_AMERICA, region=Caribbean, population=38000, capital=Basseterre}
Country{code=MCO, name=Monaco, continent=EUROPE, region=Western Europe, population=34000, capital=Monaco-Ville}
Country{code=LIE, name=Liechtenstein, continent=EUROPE, region=Western Europe, population=32300, capital=Vaduz}
Country{code=SMR, name=San Marino, continent=EUROPE, region=Southern Europe, population=27000, capital=San Marino}
Country{code=GIB, name=Gibraltar, continent=EUROPE, region=Southern Europe, population=25000, capital=Gibraltar}
Country{code=VGB, name=Virgin Islands, British, continent=NORTH_AMERICA, region=Caribbean, population=21000, capital=Road Town}
Country{code=COK, name=Cook Islands, continent=OCEANIA, region=Polynesia, population=20000, capital=Avarua}
Country{code=PLW, name=Palau, continent=OCEANIA, region=Micronesia, population=19000, capital=Koror}
Country{code=TCA, name=Turks and Caicos Islands, continent=NORTH_AMERICA, region=Caribbean, population=17000, capital=Cockburn Town}
Country{code=WLF, name=Wallis and Futuna, continent=OCEANIA, region=Polynesia, population=15000, capital=Mata-Utu}
Country{code=NRU, name=Nauru, continent=OCEANIA, region=Micronesia, population=12000, capital=Yaren}
Country{code=TUV, name=Tuvalu, continent=OCEANIA, region=Polynesia, population=12000, capital=Funafuti}
Country{code=MSR, name=Montserrat, continent=NORTH_AMERICA, region=Caribbean, population=11000, capital=Plymouth}
Country{code=AIA, name=Anguilla, continent=NORTH_AMERICA, region=Caribbean, population=8000, capital=The Valley}
Country{code=SPM, name=Saint Pierre and Miquelon, continent=NORTH_AMERICA, region=North America, population=7000, capital=Saint-Pierre}
Country{code=SHN, name=Saint Helena, continent=AFRICA, region=Western Africa, population=6000, capital=Jamestown}
Country{code=SJM, name=Svalbard and Jan Mayen, continent=EUROPE, region=Nordic Countries, population=3200, capital=Longyearbyen}
Country{code=CXR, name=Christmas Island, continent=OCEANIA, region=Australia and New Zealand, population=2500, capital=Flying Fish Cove}
Country{code=FLK, name=Falkland Islands, continent=SOUTH_AMERICA, region=South America, population=2000, capital=Stanley}
Country{code=NFK, name=Norfolk Island, continent=OCEANIA, region=Australia and New Zealand, population=2000, capital=Kingston}
Country{code=NIU, name=Niue, continent=OCEANIA, region=Polynesia, population=2000, capital=Alofi}
Country{code=TKL, name=Tokelau, continent=OCEANIA, region=Polynesia, population=2000, capital=Fakaofo}
Country{code=VAT, name=Holy See (Vatican City State), continent=EUROPE, region=Southern Europe, population=1000, capital=Città del Vaticano}
Country{code=CCK, name=Cocos (Keeling) Islands, continent=OCEANIA, region=Australia and New Zealand, population=600, capital=West Island}
Country{code=PCN, name=Pitcairn, continent=OCEANIA, region=Polynesia, population=50, capital=Adamstown}
