City{name=Zaoyang, country=China, district=Hubei, population=162198}
City{name=Xinghua, country=China, district=Jiangsu, population=161910}
City{name=Hami, country=China, district=Xinxiang, population=161315}
City{name=Huizhou, country=China, district=Guangdong, population=161023}
City{name=Jinmen, country=China, district=Hubei, population=160794}
City{name=Sanming, country=China, district=Fujian, population=160691}
City{name=Ulanhot, country=China, district=Inner Mongolia, population=159538}
City{name=Korla, country=China, district=Xinxiang, population=159344}
City{name=Wanxian, country=China, district=Sichuan, population=156823}
City{name=Rui´an, country=China, district=Zhejiang, population=156468}
City{name=Zhoushan, country=China, district=Zhejiang, population=156317}
City{name=Liangcheng, country=China, district=Shandong, population=156307}
City{name=Jiaozhou, country=China, district=Shandong, population=153364}
City{name=Taizhou, country=China, district=Jiangsu, population=152442}
City{name=Suzhou, country=China, district=Anhui, population=151862}
City{name=Yichun, country=China, district=Jiangxi, population=151585}
City{name=Taonan, country=China, district=Jilin, population=150168}
City{name=Pingdu, country=China, district=Shandong, population=150123}
City{name=Ji´an, country=China, district=Jiangxi, population=148583}
City{name=Longkou, country=China, district=Shandong, population=148362}
City{name=Langfang, country=China, district=Hebei, population=148105}
City{name=Zhoukou, country=China, district=Henan, population=146288}
City{name=Suining, country=China, district=Sichuan, population=146086}
City{name=Yulin, country=China, district=Guangxi, population=144467}
City{name=Jinhua, country=China, district=Zhejiang, population=144280}
City{name=Liu´an, country=China, district=Anhui, population=144248}
City{name=Shuangcheng, country=China, district=Heilongjiang, population=142659}
City{name=Suizhou, country=China, district=Hubei, population=142302}
City{name=Ankang, country=China, district=Shaanxi, population=142170}
City{name=Weinan, country=China, district=Shaanxi, population=140169}
City{name=Longjing, country=China, district=Jilin, population=139417}
City{name=Da´an, country=China, district=Jilin, population=138963}
City{name=Lengshuijiang, country=China, district=Hunan, population=137994}
City{name=Laiyang, country=China, district=Shandong, population=137080}
City{name=Xianning, country=China, district=Hubei, population=136811}
City{name=Dali, country=China, district=Yunnan, population=136554}
City{name=Anda, country=China, district=Heilongjiang, population=136446}
City{name=Jincheng, country=China, district=Shanxi, population=136396}
City{name=Longyan, country=China, district=Fujian, population=134481}
City{name=Xichang, country=China, district=Sichuan, population=134419}
City{name=Wendeng, country=China, district=Shandong, population=133910}
City{name=Hailun, country=China, district=Heilongjiang, population=133565}
City{name=Binzhou, country=China, district=Shandong, population=133555}
City{name=Linhe, country=China, district=Inner Mongolia, population=133183}
City{name=Wuwei, country=China, district=Gansu, population=133101}
City{name=Duyun, country=China, district=Guizhou, population=132971}
City{name=Mishan, country=China, district=Heilongjiang, population=132744}
City{name=Shangrao, country=China, district=Jiangxi, population=132455}
City{name=Changji, country=China, district=Xinxiang, population=132260}
City{name=Meixian, country=China, district=Guangdong, population=132156}
City{name=Yushu, country=China, district=Jilin, population=131861}
City{name=Tiefa, country=China, district=Liaoning, population=131807}
City{name=Huai´an, country=China, district=Jiangsu, population=131149}
City{name=Leiyang, country=China, district=Hunan, population=130115}
City{name=Zalantun, country=China, district=Inner Mongolia, population=130031}
City{name=Weihai, country=China, district=Shandong, population=128888}
City{name=Loudi, country=China, district=Hunan, population=128418}
City{name=Qingzhou, country=China, district=Shandong, population=128258}
City{name=Qidong, country=China, district=Jiangsu, population=126872}
City{name=Huaihua, country=China, district=Hunan, population=126785}
City{name=Luohe, country=China, district=Henan, population=126438}
City{name=Chuzhou, country=China, district=Anhui, population=125341}
City{name=Kaiyuan, country=China, district=Liaoning, population=124219}
City{name=Linqing, country=China, district=Shandong, population=123958}
City{name=Chaohu, country=China, district=Anhui, population=123676}
City{name=Laohekou, country=China, district=Hubei, population=123366}
City{name=Dujiangyan, country=China, district=Sichuan, population=123357}
City{name=Zhumadian, country=China, district=Henan, population=123232}
City{name=Linchuan, country=China, district=Jiangxi, population=121949}
City{name=Jiaonan, country=China, district=Shandong, population=121397}
City{name=Sanmenxia, country=China, district=Henan, population=120523}
City{name=Heyuan, country=China, district=Guangdong, population=120101}
City{name=Manzhouli, country=China, district=Inner Mongolia, population=120023}
City{name=Lhasa, country=China, district=Tibet, population=120000}
City{name=Lianyuan, country=China, district=Hunan, population=118858}
City{name=Kuytun, country=China, district=Xinxiang, population=118553}
City{name=Puqi, country=China, district=Hubei, population=117264}
City{name=Hongjiang, country=China, district=Hunan, population=116188}
City{name=Qinzhou, country=China, district=Guangxi, population=114586}
City{name=Renqiu, country=China, district=Hebei, population=114256}
City{name=Yuyao, country=China, district=Zhejiang, population=114065}
City{name=Guigang, country=China, district=Guangxi, population=114025}
City{name=Kaili, country=China, district=Guizhou, population=113958}
City{name=Yan´an, country=China, district=Shaanxi, population=113277}
City{name=Beihai, country=China, district=Guangxi, population=112673}
City{name=Xuangzhou, country=China, district=Anhui, population=112673}
City{name=Quzhou, country=China, district=Zhejiang, population=112373}
City{name=Yong´an, country=China, district=Fujian, population=111762}
City{name=Zixing, country=China, district=Hunan, population=110048}
City{name=Liyang, country=China, district=Jiangsu, population=109520}
City{name=Yizheng, country=China, district=Jiangsu, population=109268}
