City{name=Ebina, country=Japan, district=Kanagawa, population=115571}
City{name=Asaka, country=Japan, district=Saitama, population=114815}
City{name=Higashikurume, country=Japan, district=Tokyo-to, population=111666}
City{name=Ikoma, country=Japan, district=Nara, population=111645}
City{name=Kitami, country=Japan, district=Hokkaido, population=111295}
City{name=Koganei, country=Japan, district=Tokyo-to, population=110969}
City{name=Iwatsuki, country=Japan, district=Saitama, population=110034}
City{name=Mishima, country=Japan, district=Shizuoka, population=109699}
City{name=Handa, country=Japan, district=Aichi, population=108600}
City{name=Muroran, country=Japan, district=Hokkaido, population=108275}
City{name=Komatsu, country=Japan, district=Ishikawa, population=107937}
City{name=Yatsushiro, country=Japan, district=Kumamoto, population=107661}
City{name=Iida, country=Japan, district=Nagano, population=107583}
City{name=Tokuyama, country=Japan, district=Yamaguchi, population=107078}
City{name=Kokubunji, country=Japan, district=Tokyo-to, population=106996}
City{name=Akishima, country=Japan, district=Tokyo-to, population=106914}
City{name=Iwakuni, country=Japan, district=Yamaguchi, population=106647}
City{name=Kusatsu, country=Japan, district=Shiga, population=106232}
City{name=Kuwana, country=Japan, district=Mie, population=106121}
City{name=Sanda, country=Japan, district=Hyogo, population=105643}
City{name=Hikone, country=Japan, district=Shiga, population=105508}
City{name=Toda, country=Japan, district=Saitama, population=103969}
City{name=Tajimi, country=Japan, district=Gifu, population=103171}
City{name=Ikeda, country=Japan, district=Osaka, population=102710}
City{name=Fukaya, country=Japan, district=Saitama, population=102156}
City{name=Ise, country=Japan, district=Mie, population=101732}
City{name=Sakata, country=Japan, district=Yamagata, population=101651}
City{name=Kasuga, country=Japan, district=Fukuoka, population=101344}
City{name=Kamagaya, country=Japan, district=Chiba, population=100821}
City{name=Tsuruoka, country=Japan, district=Yamagata, population=100713}
City{name=Hoya, country=Japan, district=Tokyo-to, population=100313}
City{name=Nishio, country=Japan, district=Chiba, population=100032}
City{name=Tokai, country=Japan, district=Aichi, population=99738}
City{name=Inazawa, country=Japan, district=Aichi, population=98746}
City{name=Sakado, country=Japan, district=Saitama, population=98221}
City{name=Isehara, country=Japan, district=Kanagawa, population=98123}
City{name=Takasago, country=Japan, district=Hyogo, population=97632}
City{name=Fujimi, country=Japan, district=Saitama, population=96972}
City{name=Urasoe, country=Japan, district=Okinawa, population=96002}
City{name=Yonezawa, country=Japan, district=Yamagata, population=95592}
City{name=Konan, country=Japan, district=Aichi, population=95521}
City{name=Yamatokoriyama, country=Japan, district=Nara, population=95165}
City{name=Maizuru, country=Japan, district=Kyoto, population=94784}
City{name=Onomichi, country=Japan, district=Hiroshima, population=93756}
City{name=Higashimatsuyama, country=Japan, district=Saitama, population=93342}
City{name=Kimitsu, country=Japan, district=Chiba, population=93216}
City{name=Isahaya, country=Japan, district=Nagasaki, population=93058}
City{name=Kanuma, country=Japan, district=Tochigi, population=93053}
City{name=Izumisano, country=Japan, district=Osaka, population=92583}
City{name=Kameoka, country=Japan, district=Kyoto, population=92398}
City{name=Mobara, country=Japan, district=Chiba, population=91664}
City{name=Narita, country=Japan, district=Chiba, population=91470}
City{name=Kashiwazaki, country=Japan, district=Niigata, population=91229}
City{name=Tsuyama, country=Japan, district=Okayama, population=91170}
