City{name=Krishnanagar, country=India, district=West Bengali, population=121110}
City{name=Chandannagar, country=India, district=West Bengali, population=120378}
City{name=Mandya, country=India, district=Karnataka, population=120265}
City{name=Dibrugarh, country=India, district=Assam, population=120127}
City{name=Nandyal, country=India, district=Andhra Pradesh, population=119813}
City{name=Balurghat, country=India, district=West Bengali, population=119796}
City{name=Neyveli, country=India, district=Tamil Nadu, population=118080}
City{name=Fatehpur, country=India, district=Uttar Pradesh, population=117675}
City{name=Mahbubnagar, country=India, district=Andhra Pradesh, population=116833}
City{name=Budaun, country=India, district=Uttar Pradesh, population=116695}
City{name=Porbandar, country=India, district=Gujarat, population=116671}
City{name=Silchar, country=India, district=Assam, population=115483}
City{name=Berhampore (Baharampur), country=India, district=West Bengali, population=115144}
City{name=Purnea (Purnia), country=India, district=Jharkhand, population=114912}
City{name=Bankura, country=India, district=West Bengali, population=114876}
City{name=Rajapalaiyam, country=India, district=Tamil Nadu, population=114202}
City{name=Titagarh, country=India, district=West Bengali, population=114085}
City{name=Halisahar, country=India, district=West Bengali, population=114028}
City{name=Hathras, country=India, district=Uttar Pradesh, population=113285}
City{name=Bhir (Bid), country=India, district=Maharashtra, population=112434}
City{name=Pallavaram, country=India, district=Tamil Nadu, population=111866}
City{name=Anand, country=India, district=Gujarat, population=110266}
City{name=Mango, country=India, district=Jharkhand, population=110024}
City{name=Santipur, country=India, district=West Bengali, population=109956}
City{name=Bhind, country=India, district=Madhya Pradesh, population=109755}
City{name=Gondiya, country=India, district=Maharashtra, population=109470}
City{name=Tiruvannamalai, country=India, district=Tamil Nadu, population=109196}
City{name=Yeotmal (Yavatmal), country=India, district=Maharashtra, population=108578}
City{name=Kulti-Barakar, country=India, district=West Bengali, population=108518}
City{name=Moga, country=India, district=Punjab, population=108304}
City{name=Shivapuri, country=India, district=Madhya Pradesh, population=108277}
City{name=Bidar, country=India, district=Karnataka, population=108016}
City{name=Guntakal, country=India, district=Andhra Pradesh, population=107592}
City{name=Unnao, country=India, district=Uttar Pradesh, population=107425}
City{name=Barasat, country=India, district=West Bengali, population=107365}
City{name=Tambaram, country=India, district=Tamil Nadu, population=107187}
City{name=Abohar, country=India, district=Punjab, population=107163}
City{name=Pilibhit, country=India, district=Uttar Pradesh, population=106605}
City{name=Valparai, country=India, district=Tamil Nadu, population=106523}
City{name=Gonda, country=India, district=Uttar Pradesh, population=106078}
City{name=Surendranagar, country=India, district=Gujarat, population=105973}
City{name=Qutubullapur, country=India, district=Andhra Pradesh, population=105380}
City{name=Beawar, country=India, district=Rajasthan, population=105363}
City{name=Hindupur, country=India, district=Andhra Pradesh, population=104651}
City{name=Gandhidham, country=India, district=Gujarat, population=104585}
City{name=Haldwani-cum-Kathgodam, country=India, district=Uttaranchal, population=104195}
City{name=Tellicherry (Thalassery), country=India, district=Kerala, population=103579}
City{name=Wardha, country=India, district=Maharashtra, population=102985}
City{name=Rishra, country=India, district=West Bengali, population=102649}
City{name=Bhuj, country=India, district=Gujarat, population=102176}
City{name=Modinagar, country=India, district=Uttar Pradesh, population=101660}
City{name=Gudivada, country=India, district=Andhra Pradesh, population=101656}
City{name=Basirhat, country=India, district=West Bengali, population=101409}
City{name=Uttarpara-Kotrung, country=India, district=West Bengali, population=100867}
City{name=Ongole, country=India, district=Andhra Pradesh, population=100836}
City{name=North Barrackpur, country=India, district=West Bengali, population=100513}
City{name=Guna, country=India, district=Madhya Pradesh, population=100490}
City{name=Haldia, country=India, district=West Bengali, population=100347}
City{name=Habra, country=India, district=West Bengali, population=100223}
City{name=Kanchrapara, country=India, district=West Bengali, population=100194}
City{name=Tonk, country=India, district=Rajasthan, population=100079}
City{name=Champdani, country=India, district=West Bengali, population=98818}
City{name=Orai, country=India, district=Uttar Pradesh, population=98640}
City{name=Pudukkottai, country=India, district=Tamil Nadu, population=98619}
City{name=Sasaram, country=India, district=Bihar, population=98220}
City{name=Hazaribag, country=India, district=Jharkhand, population=97712}
City{name=Palayankottai, country=India, district=Tamil Nadu, population=97662}
City{name=Banda, country=India, district=Uttar Pradesh, population=97227}
City{name=Godhra, country=India, district=Gujarat, population=96813}
City{name=Hospet, country=India, district=Karnataka, population=96322}
City{name=Ashoknagar-Kalyangarh, country=India, district=West Bengali, population=96315}
City{name=Achalpur, country=India, district=Maharashtra, population=96216}
City{name=Patan, country=India, district=Gujarat, population=96109}
City{name=Mandasor, country=India, district=Madhya Pradesh, population=95758}
City{name=Damoh, country=India, district=Madhya Pradesh, population=95661}
City{name=Satara, country=India, district=Maharashtra, population=95133}
City{name=Meerut Cantonment, country=India, district=Uttar Pradesh, population=94876}
City{name=Dehri, country=India, district=Bihar, population=94526}
City{name=Delhi Cantonment, country=India, district=Delhi, population=94326}
City{name=Chhindwara, country=India, district=Madhya Pradesh, population=93731}
City{name=Bansberia, country=India, district=West Bengali, population=93447}
City{name=Nagaon, country=India, district=Assam, population=93350}
City{name=Kanpur Cantonment, country=India, district=Uttar Pradesh, population=93109}
City{name=Vidisha, country=India, district=Madhya Pradesh, population=92917}
City{name=Bettiah, country=India, district=Bihar, population=92583}
City{name=Purulia, country=India, district=Jharkhand, population=92574}
City{name=Hassan, country=India, district=Karnataka, population=90803}
City{name=Ambala Sadar, country=India, district=Haryana, population=90712}
City{name=Baidyabati, country=India, district=West Bengali, population=90601}
City{name=Morvi, country=India, district=Gujarat, population=90357}
City{name=Raigarh, country=India, district=Chhatisgarh, population=89166}
City{name=Vejalpur, country=India, district=Gujarat, population=89053}
