City{name=Bulaq al-Dakrur, country=Egypt, district=Giza, population=148787}
City{name=Kumo, country=Nigeria, district=Bauchi & Gombe, population=148000}
City{name=Shomolu, country=Nigeria, district=Lagos, population=147700}
City{name=Sousse, country=Tunisia, district=Sousse, population=145900}
City{name=Banha, country=Egypt, district=al-Qalyubiya, population=145792}
City{name=Maroua, country=Cameroon, district=Extrême-Nord, population=143000}
City{name=Oka-Akoko, country=Nigeria, district=Ondo & Ekiti, population=142900}
City{name=Chingola, country=Zambia, district=Copperbelt, population=142400}
City{name=al-Fashir, country=Sudan, district=Darfur al-Shamaliya, population=141884}
City{name=Ikare, country=Nigeria, district=Ondo & Ekiti, population=140800}
City{name=Beni-Mellal, country=Morocco, district=Tadla-Azilal, population=140212}
City{name=Sapele, country=Nigeria, district=Edo & Delta, population=139200}
City{name=Deba Habe, country=Nigeria, district=Bauchi & Gombe, population=138600}
City{name=Port-Louis, country=Mauritius, district=Port-Louis, population=138200}
City{name=Bamenda, country=Cameroon, district=Nord-Ouest, population=138000}
City{name=Mwene-Ditu, country=Congo, The Democratic Republic of the, district=East Kasai, population=137459}
City{name=Tanga, country=Tanzania, district=Tanga, population=137400}
City{name=Minna, country=Nigeria, district=Niger, population=136900}
City{name=Boma, country=Congo, The Democratic Republic of the, district=Bas-Zaïre, population=135284}
City{name=Djougou, country=Benin, district=Atacora, population=134099}
City{name=Saint-Louis, country=Senegal, district=Saint-Louis, population=132400}
City{name=Saint-Denis, country=Réunion, district=Saint-Denis, population=131480}
City{name=Mutare, country=Zimbabwe, district=Manicaland, population=131367}
City{name=Bafoussam, country=Cameroon, district=Ouest, population=131000}
City{name=Mbeya, country=Tanzania, district=Mbeya, population=130800}
City{name=Lobito, country=Angola, district=Benguela, population=130000}
City{name=Yamoussoukro, country=Côte d’Ivoire, district=Yamoussoukro, population=130000}
City{name=Skikda, country=Algeria, district=Skikda, population=128747}
City{name=Benguela, country=Angola, district=Benguela, population=128300}
City{name=Biskra, country=Algeria, district=Biskra, population=128281}
City{name=Gweru, country=Zimbabwe, district=Midlands, population=128037}
City{name=Nazret, country=Ethiopia, district=Oromia, population=127842}
City{name=Toamasina, country=Madagascar, district=Toamasina, population=127441}
City{name=Blida (el-Boulaida), country=Algeria, district=Blida, population=127284}
City{name=Warraq al-Arab, country=Egypt, district=Giza, population=127108}
City{name=Témara, country=Morocco, district=Rabat-Salé-Zammour-Z, population=126303}
City{name=Warri, country=Nigeria, district=Edo & Delta, population=126100}
City{name=Bida, country=Nigeria, district=Niger, population=125500}
City{name=Kafr al-Shaykh, country=Egypt, district=Kafr al-Shaykh, population=124819}
City{name=Mocuba, country=Mozambique, district=Zambézia, population=124700}
City{name=Mufulira, country=Zambia, district=Copperbelt, population=123900}
City{name=Ikire, country=Nigeria, district=Oyo & Osun, population=123300}
City{name=Makurdi, country=Nigeria, district=Benue, population=123100}
City{name=Lafia, country=Nigeria, district=Plateau & Nassarawa, population=122500}
City{name=Daloa, country=Côte d’Ivoire, district=Daloa, population=121842}
City{name=Misrata, country=Libyan Arab Jamahiriya, district=Misrata, population=121669}
City{name=Zinder, country=Niger, district=Zinder, population=120892}
City{name=Randfontein, country=South Africa, district=Gauteng, population=120838}
City{name=Antsirabé, country=Madagascar, district=Antananarivo, population=120239}
City{name=Inisa, country=Nigeria, district=Oyo & Osun, population=119800}
City{name=Mallawi, country=Egypt, district=al-Minya, population=119283}
City{name=El Jadida, country=Morocco, district=Doukkala-Abda, population=119083}
City{name=Namibe, country=Angola, district=Namibe, population=118200}
City{name=Luanshya, country=Zambia, district=Copperbelt, population=118100}
City{name=Morogoro, country=Tanzania, district=Morogoro, population=117800}
City{name=Shagamu, country=Nigeria, district=Ogun, population=117200}
City{name=Béjaïa, country=Algeria, district=Béjaïa, population=117162}
City{name=Machakos, country=Kenya, district=Eastern, population=116293}
City{name=Uvira, country=Congo, The Democratic Republic of the, district=South Kivu, population=115590}
City{name=Mostaganem, country=Algeria, district=Mostaganem, population=115212}
City{name=Juba, country=Sudan, district=Bahr al-Jabal, population=114980}
City{name=Bilbays, country=Egypt, district=al-Sharqiya, population=113608}
City{name=Kairouan, country=Tunisia, district=Kairouan, population=113100}
City{name=Maradi, country=Niger, district=Maradi, population=112965}
City{name=Nkongsamba, country=Cameroon, district=Littoral, population=112454}
City{name=Nador, country=Morocco, district=Oriental, population=112450}
City{name=Gonder, country=Ethiopia, district=Amhara, population=112249}
City{name=Tébessa, country=Algeria, district=Tébessa, population=112007}
City{name=Eldoret, country=Kenya, district=Rift Valley, population=111882}
City{name=Awka, country=Nigeria, district=Anambra & Enugu & Eb, population=111200}
City{name=Tlemcen (Tilimsen), country=Algeria, district=Tlemcen, population=110242}
City{name=Tema, country=Ghana, district=Greater Accra, population=109975}
City{name=Korhogo, country=Côte d’Ivoire, district=Korhogo, population=109445}
City{name=Butembo, country=Congo, The Democratic Republic of the, district=North Kivu, population=109406}
City{name=Mbour, country=Senegal, district=Thiès, population=109300}
City{name=Goma, country=Congo, The Democratic Republic of the, district=North Kivu, population=109094}
City{name=Biserta, country=Tunisia, district=Biserta, population=108900}
City{name=Gombe, country=Nigeria, district=Bauchi & Gombe, population=107800}
City{name=Béchar, country=Algeria, district=Béchar, population=107311}
City{name=Ksar el Kebir, country=Morocco, district=Tanger-Tétouan, population=107065}
City{name=Igboho, country=Nigeria, district=Oyo & Osun, population=106800}
City{name=Gabès, country=Tunisia, district=Gabès, population=106600}
City{name=Ejigbo, country=Nigeria, district=Oyo & Osun, population=105900}
City{name=Paarl, country=South Africa, district=Western Cape, population=105768}
City{name=Koudougou, country=Burkina Faso, district=Boulkiemdé, population=105000}
City{name=Agege, country=Nigeria, district=Lagos, population=105000}
City{name=Sekondi-Takoradi, country=Ghana, district=Western, population=103653}
City{name=Parakou, country=Benin, district=Borgou, population=103577}
City{name=Ise-Ekiti, country=Nigeria, district=Ondo & Ekiti, population=103400}
City{name=Serekunda, country=Gambia, district=Kombo St Mary, population=102600}
City{name=Ugep, country=Nigeria, district=Cross River, population=102600}
City{name=Arusha, country=Tanzania, district=Arusha, population=102500}
City{name=Tete, country=Mozambique, district=Tete, population=101984}
City{name=Potchefstroom, country=South Africa, district=North West, population=101817}
City{name=Francistown, country=Botswana, district=Francistown, population=101805}
City{name=Mit Ghamr, country=Egypt, district=al-Daqahliya, population=101801}
City{name=Kalemie, country=Congo, The Democratic Republic of the, district=Shaba, population=101309}
City{name=Epe, country=Nigeria, district=Lagos, population=101000}
City{name=Mahajanga, country=Madagascar, district=Mahajanga, population=100807}
City{name=Beau Bassin-Rose Hill, country=Mauritius, district=Plaines Wilhelms, population=100616}
City{name=al-Arish, country=Egypt, district=Shamal Sina, population=100447}
City{name=Tiaret, country=Algeria, district=Tiaret, population=100118}
City{name=Moundou, country=Chad, district=Logone Occidental, population=99500}
City{name=Xai-Xai, country=Mozambique, district=Gaza, population=99442}
City{name=Diourbel, country=Senegal, district=Diourbel, population=99400}
City{name=Gurue, country=Mozambique, district=Zambézia, population=99300}
City{name=Fianarantsoa, country=Madagascar, district=Fianarantsoa, population=99005}
City{name=Vacoas-Phoenix, country=Mauritius, district=Plaines Wilhelms, population=98464}
City{name=Talkha, country=Egypt, district=al-Daqahliya, population=97700}
