City{name=Sabará, country=Brazil, district=Minas Gerais, population=107781}
City{name=Catanduva, country=Brazil, district=São Paulo, population=107761}
City{name=Rio Verde, country=Brazil, district=Goiás, population=107755}
City{name=Sogamoso, country=Colombia, district=Boyacá, population=107728}
City{name=Botucatu, country=Brazil, district=São Paulo, population=107663}
City{name=Colatina, country=Brazil, district=Espírito Santo, population=107354}
City{name=Calabozo, country=Venezuela, district=Guárico, population=107146}
City{name=Santa Cruz do Sul, country=Brazil, district=Rio Grande do Sul, population=106734}
City{name=Linhares, country=Brazil, district=Espírito Santo, population=106278}
City{name=Pozuelos, country=Venezuela, district=Anzoátegui, population=105690}
City{name=Apucarana, country=Brazil, district=Paraná, population=105114}
City{name=Barretos, country=Brazil, district=São Paulo, population=104156}
City{name=Guaratinguetá, country=Brazil, district=São Paulo, population=103433}
City{name=Cachoeirinha, country=Brazil, district=Rio Grande do Sul, population=103240}
City{name=Codó, country=Brazil, district=Maranhão, population=103153}
City{name=Jaraguá do Sul, country=Brazil, district=Santa Catarina, population=102580}
City{name=Cubatão, country=Brazil, district=São Paulo, population=102372}
City{name=Itabira, country=Brazil, district=Minas Gerais, population=102217}
City{name=Puno, country=Peru, district=Puno, population=101578}
City{name=Itaituba, country=Brazil, district=Pará, population=101320}
City{name=Ventanilla, country=Peru, district=Callao, population=101056}
City{name=Araras, country=Brazil, district=São Paulo, population=101046}
City{name=Resende, country=Brazil, district=Rio de Janeiro, population=100627}
City{name=Atibaia, country=Brazil, district=São Paulo, population=100356}
City{name=Pouso Alegre, country=Brazil, district=Minas Gerais, population=100028}
City{name=Lambaré, country=Paraguay, district=Central, population=99681}
City{name=Ezeiza, country=Argentina, district=Buenos Aires, population=99578}
City{name=Toledo, country=Brazil, district=Paraná, population=99387}
City{name=Ciudad Ojeda, country=Venezuela, district=Zulia, population=99354}
City{name=Crato, country=Brazil, district=Ceará, population=98965}
City{name=Passos, country=Brazil, district=Minas Gerais, population=98570}
City{name=Araguari, country=Brazil, district=Minas Gerais, population=98399}
