City{name=Norilsk, country=Russian Federation, district=Krasnojarsk, population=140800}
City{name=Almetjevsk, country=Russian Federation, district=Tatarstan, population=140700}
City{name=Novomoskovsk, country=Russian Federation, district=Tula, population=138100}
City{name=Dimitrovgrad, country=Russian Federation, district=Uljanovsk, population=137000}
City{name=Walbrzych, country=Poland, district=Dolnoslaskie, population=136923}
City{name=Pervouralsk, country=Russian Federation, district=Sverdlovsk, population=136100}
City{name=Himki, country=Russian Federation, district=Moskova, population=133700}
City{name=Tychy, country=Poland, district=Slaskie, population=133178}
City{name=Balašiha, country=Russian Federation, district=Moskova, population=132900}
City{name=Nevinnomyssk, country=Russian Federation, district=Stavropol, population=132600}
City{name=Pjatigorsk, country=Russian Federation, district=Stavropol, population=132500}
City{name=Korolev, country=Russian Federation, district=Moskova, population=132400}
City{name=Serpuhov, country=Russian Federation, district=Moskova, population=132000}
City{name=Dabrowa Górnicza, country=Poland, district=Slaskie, population=131037}
City{name=Plock, country=Poland, district=Mazowieckie, population=131011}
City{name=Satu Mare, country=Romania, district=Satu Mare, population=130059}
City{name=Berdjansk, country=Ukraine, district=Zaporizzja, population=130000}
City{name=Pinsk, country=Belarus, district=Brest, population=130000}
City{name=Elblag, country=Poland, district=Warminsko-Mazurskie, population=129782}
City{name=Opole, country=Poland, district=Opolskie, population=129553}
City{name=Botosani, country=Romania, district=Botosani, population=128730}
City{name=Odintsovo, country=Russian Federation, district=Moskova, population=127400}
City{name=Györ, country=Hungary, district=Györ-Moson-Sopron, population=127119}
City{name=Pavlograd, country=Ukraine, district=Dnipropetrovsk, population=127000}
City{name=Sjeverodonetsk, country=Ukraine, district=Lugansk, population=127000}
City{name=Slovjansk, country=Ukraine, district=Donetsk, population=127000}
City{name=Uzgorod, country=Ukraine, district=Taka-Karpatia, population=127000}
City{name=Gorzów Wielkopolski, country=Poland, district=Lubuskie, population=126019}
City{name=Bender (Tîghina), country=Moldova, district=Bender (Tîghina), population=125700}
City{name=Piatra Neamt, country=Romania, district=Neamt, population=125070}
City{name=Orehovo-Zujevo, country=Russian Federation, district=Moskova, population=124900}
City{name=Kamyšin, country=Russian Federation, district=Volgograd, population=124600}
City{name=Orša, country=Belarus, district=Vitebsk, population=124000}
City{name=Novotšeboksarsk, country=Russian Federation, district=Tšuvassia, population=123400}
City{name=Wloclawek, country=Poland, district=Kujawsko-Pomorskie, population=123373}
City{name=Pleven, country=Bulgaria, district=Lovec, population=121952}
City{name=Chorzów, country=Poland, district=Slaskie, population=121708}
City{name=Tšerkessk, country=Russian Federation, district=Karatšai-Tšerkessia, population=121700}
City{name=Atšinsk, country=Russian Federation, district=Krasnojarsk, population=121600}
City{name=Tarnów, country=Poland, district=Malopolskie, population=121494}
City{name=Magadan, country=Russian Federation, district=Magadan, population=121000}
City{name=Mitšurinsk, country=Russian Federation, district=Tambov, population=120700}
City{name=Kislovodsk, country=Russian Federation, district=Stavropol, population=120400}
City{name=Râmnicu Vâlcea, country=Romania, district=Vâlcea, population=119741}
City{name=Jelets, country=Russian Federation, district=Lipetsk, population=119400}
City{name=Altševsk, country=Ukraine, district=Lugansk, population=119000}
City{name=Seversk, country=Russian Federation, district=Tomsk, population=118600}
City{name=Suceava, country=Romania, district=Suceava, population=118549}
City{name=Zielona Góra, country=Poland, district=Lubuskie, population=118182}
City{name=Drobeta-Turnu Severin, country=Romania, district=Mehedinti, population=117865}
City{name=Noginsk, country=Russian Federation, district=Moskova, population=117200}
City{name=Velikije Luki, country=Russian Federation, district=Pihkova, population=116300}
City{name=Novokuibyševsk, country=Russian Federation, district=Samara, population=116200}
City{name=Lysytšansk, country=Ukraine, district=Lugansk, population=116000}
City{name=Neftekamsk, country=Russian Federation, district=Baškortostan, population=115700}
City{name=Leninsk-Kuznetski, country=Russian Federation, district=Kemerovo, population=113800}
City{name=Nyiregyháza, country=Hungary, district=Szabolcs-Szatmár-Ber, population=112419}
City{name=Koszalin, country=Poland, district=Zachodnio-Pomorskie, population=112375}
City{name=Jevpatorija, country=Ukraine, district=Krim, population=112000}
City{name=Oktjabrski, country=Russian Federation, district=Baškortostan, population=111500}
City{name=Sergijev Posad, country=Russian Federation, district=Moskova, population=111100}
City{name=Arzamas, country=Russian Federation, district=Nizni Novgorod, population=110700}
City{name=Mozyr, country=Belarus, district=Gomel, population=110000}
City{name=Kiseljovsk, country=Russian Federation, district=Kemerovo, population=110000}
City{name=Novotroitsk, country=Russian Federation, district=Orenburg, population=109600}
City{name=Legnica, country=Poland, district=Dolnoslaskie, population=109335}
City{name=Kamjanets-Podilskyi, country=Ukraine, district=Hmelnytskyi, population=109000}
City{name=Obninsk, country=Russian Federation, district=Kaluga, population=108300}
City{name=Kansk, country=Russian Federation, district=Krasnojarsk, population=107400}
City{name=Kalisz, country=Poland, district=Wielkopolskie, population=106641}
City{name=Glazov, country=Russian Federation, district=Udmurtia, population=106300}
City{name=Novopolotsk, country=Belarus, district=Vitebsk, population=106000}
City{name=Solikamsk, country=Russian Federation, district=Perm, population=106000}
City{name=Sarapul, country=Russian Federation, district=Udmurtia, population=105700}
City{name=Kecskemét, country=Hungary, district=Bács-Kiskun, population=105606}
City{name=Sliven, country=Bulgaria, district=Burgas, population=105530}
City{name=Ust-Ilimsk, country=Russian Federation, district=Irkutsk, population=105200}
City{name=Székesfehérvár, country=Hungary, district=Fejér, population=105119}
City{name=Jenakijeve, country=Ukraine, district=Donetsk, population=105000}
City{name=Štšolkovo, country=Russian Federation, district=Moskova, population=104900}
City{name=Mezduretšensk, country=Russian Federation, district=Kemerovo, population=104400}
City{name=Usolje-Sibirskoje, country=Russian Federation, district=Irkutsk, population=103500}
City{name=Elista, country=Russian Federation, district=Kalmykia, population=103300}
City{name=Olomouc, country=Czech Republic, district=Severní Morava, population=102702}
City{name=Grudziadz, country=Poland, district=Kujawsko-Pomorskie, population=102434}
City{name=Slupsk, country=Poland, district=Pomorskie, population=102370}
City{name=Jastrzebie-Zdrój, country=Poland, district=Slaskie, population=102294}
City{name=Novošahtinsk, country=Russian Federation, district=Rostov-na-Donu, population=101900}
City{name=Votkinsk, country=Russian Federation, district=Udmurtia, population=101700}
City{name=Kyzyl, country=Russian Federation, district=Tyva, population=101100}
City{name=Krasnyi Lutš, country=Ukraine, district=Lugansk, population=101000}
City{name=Stahanov, country=Ukraine, district=Lugansk, population=101000}
City{name=Lida, country=Belarus, district=Grodno, population=101000}
City{name=Soligorsk, country=Belarus, district=Minsk, population=101000}
City{name=Serov, country=Russian Federation, district=Sverdlovsk, population=100400}
City{name=Dobric, country=Bulgaria, district=Varna, population=100399}
City{name=Zelenodolsk, country=Russian Federation, district=Tatarstan, population=100200}
City{name=Zeleznodoroznyi, country=Russian Federation, district=Moskova, population=100100}
City{name=Kinešma, country=Russian Federation, district=Ivanovo, population=100000}
City{name=Liberec, country=Czech Republic, district=Severní Cechy, population=99155}
City{name=Oleksandrija, country=Ukraine, district=Kirovograd, population=99000}
City{name=Târgoviste, country=Romania, district=Dâmbovita, population=98980}
City{name=Focsani, country=Romania, district=Vrancea, population=98979}
City{name=Târgu Jiu, country=Romania, district=Gorj, population=98524}
City{name=Kuznetsk, country=Russian Federation, district=Penza, population=98200}
City{name=Ceské Budejovice, country=Czech Republic, district=Jizní Cechy, population=98186}
City{name=Hradec Králové, country=Czech Republic, district=Východní Cechy, population=98080}
City{name=Uhta, country=Russian Federation, district=Komi, population=98000}
City{name=Jaworzno, country=Poland, district=Slaskie, population=97929}
City{name=Jessentuki, country=Russian Federation, district=Stavropol, population=97900}
City{name=Tobolsk, country=Russian Federation, district=Tjumen, population=97600}
City{name=Neftejugansk, country=Russian Federation, district=Hanti-Mansia, population=97400}
City{name=Bataisk, country=Russian Federation, district=Rostov-na-Donu, population=97300}
City{name=Nojabrsk, country=Russian Federation, district=Yamalin Nenetsia, population=97300}
City{name=Balašov, country=Russian Federation, district=Saratov, population=97100}
City{name=Molodetšno, country=Belarus, district=Minsk, population=97000}
City{name=Zeleznogorsk, country=Russian Federation, district=Kursk, population=96900}
City{name=Zukovski, country=Russian Federation, district=Moskova, population=96500}
City{name=Tulcea, country=Romania, district=Tulcea, population=96278}
City{name=Anzero-Sudzensk, country=Russian Federation, district=Kemerovo, population=96100}
City{name=Konotop, country=Ukraine, district=Sumy, population=96000}
City{name=Ústí nad Labem, country=Czech Republic, district=Severní Cechy, population=95491}
City{name=Kostjantynivka, country=Ukraine, district=Donetsk, population=95000}
City{name=Šumen, country=Bulgaria, district=Varna, population=94686}
City{name=Bugulma, country=Russian Federation, district=Tatarstan, population=94100}
City{name=Zeleznogorsk, country=Russian Federation, district=Krasnojarsk, population=94000}
City{name=Prešov, country=Slovakia, district=Východné Slovensko, population=93977}
City{name=Resita, country=Romania, district=Caras-Severin, population=93976}
City{name=Jelenia Góra, country=Poland, district=Dolnoslaskie, population=93901}
City{name=Novouralsk, country=Russian Federation, district=Sverdlovsk, population=93300}
City{name=Puškin, country=Russian Federation, district=Pietari, population=92900}
City{name=Vorkuta, country=Russian Federation, district=Komi, population=92600}
City{name=Derbent, country=Russian Federation, district=Dagestan, population=92300}
City{name=Kirovo-Tšepetsk, country=Russian Federation, district=Kirov, population=91600}
City{name=Pardubice, country=Czech Republic, district=Východní Cechy, population=91309}
City{name=Krasnogorsk, country=Russian Federation, district=Moskova, population=91000}
City{name=Berdytšiv, country=Ukraine, district=Zytomyr, population=90000}
City{name=Izmajil, country=Ukraine, district=Odesa, population=90000}
City{name=Šostka, country=Ukraine, district=Sumy, population=90000}
City{name=Uman, country=Ukraine, district=Tšerkasy, population=90000}
City{name=Klin, country=Russian Federation, district=Moskova, population=90000}
City{name=Tšaikovski, country=Russian Federation, district=Perm, population=90000}
City{name=Novyi Urengoi, country=Russian Federation, district=Yamalin Nenetsia, population=89800}
City{name=Brovary, country=Ukraine, district=Kiova, population=89000}
City{name=Mukatševe, country=Ukraine, district=Taka-Karpatia, population=89000}
