City{name=General Trias, country=Philippines, district=Southern Tagalog, population=107691}
City{name=Lashio (Lasho), country=Myanmar, district=Shan, population=107600}
City{name=Tabaco, country=Philippines, district=Bicol, population=107166}
City{name=Taman, country=Indonesia, district=East Java, population=107000}
City{name=Depok, country=Indonesia, district=Yogyakarta, population=106800}
City{name=Cabuyao, country=Philippines, district=Southern Tagalog, population=106630}
City{name=Da Lat, country=Vietnam, district=Lam Dong, population=106409}
City{name=Calapan, country=Philippines, district=Southern Tagalog, population=105910}
City{name=Mati, country=Philippines, district=Southern Mindanao, population=105908}
City{name=Midsayap, country=Philippines, district=Central Mindanao, population=105760}
City{name=Prome (Pyay), country=Myanmar, district=Pegu [Bago], population=105700}
City{name=Citeureup, country=Indonesia, district=West Java, population=105100}
City{name=Siem Reap, country=Cambodia, district=Siem Reap, population=105100}
City{name=Henzada (Hinthada), country=Myanmar, district=Irrawaddy [Ayeyarwad, population=104700}
City{name=Cauayan, country=Philippines, district=Cagayan Valley, population=103952}
City{name=Myingyan, country=Myanmar, district=Mandalay, population=103600}
City{name=Pemalang, country=Indonesia, district=Central Java, population=103500}
City{name=Klaten, country=Indonesia, district=Central Java, population=103300}
City{name=Salatiga, country=Indonesia, district=Central Java, population=103000}
City{name=Gingoog, country=Philippines, district=Northern Mindanao, population=102379}
City{name=Dumaguete, country=Philippines, district=Central Visayas, population=102265}
City{name=San Fernando, country=Philippines, district=Ilocos, population=102082}
City{name=Shah Alam, country=Malaysia, district=Selangor, population=102019}
City{name=Arayat, country=Philippines, district=Central Luzon, population=101792}
City{name=Bayawan (Tulong), country=Philippines, district=Central Visayas, population=101391}
City{name=Cibinong, country=Indonesia, district=West Java, population=101300}
City{name=Kidapawan, country=Philippines, district=Central Mindanao, population=101205}
City{name=Daraga (Locsin), country=Philippines, district=Bicol, population=101031}
City{name=Marilao, country=Philippines, district=Central Luzon, population=101017}
City{name=Malita, country=Philippines, district=Southern Mindanao, population=100000}
City{name=Dipolog, country=Philippines, district=Western Mindanao, population=99862}
City{name=Palangka Raya, country=Indonesia, district=Kalimantan Tengah, population=99693}
City{name=Cavite, country=Philippines, district=Southern Tagalog, population=99367}
City{name=Danao, country=Philippines, district=Central Visayas, population=98781}
City{name=Bislig, country=Philippines, district=Caraga, population=97860}
City{name=Talavera, country=Philippines, district=Central Luzon, population=97329}
City{name=Buon Ma Thuot, country=Vietnam, district=Dac Lac, population=97044}
City{name=Guagua, country=Philippines, district=Central Luzon, population=96858}
City{name=Tavoy (Dawei), country=Myanmar, district=Tenasserim [Tanintha, population=96800}
City{name=Savannakhet, country=Laos, district=Savannakhet, population=96652}
City{name=Mojokerto, country=Indonesia, district=East Java, population=96626}
City{name=Bayambang, country=Philippines, district=Ilocos, population=96609}
City{name=Nasugbu, country=Philippines, district=Southern Tagalog, population=96113}
City{name=Purwakarta, country=Indonesia, district=West Java, population=95900}
City{name=Garut, country=Indonesia, district=West Java, population=95800}
City{name=Baybay, country=Philippines, district=Eastern Visayas, population=95630}
City{name=Kudus, country=Indonesia, district=Central Java, population=95300}
City{name=Capas, country=Philippines, district=Central Luzon, population=95219}
City{name=Songkhla, country=Thailand, district=Songkhla, population=94900}
City{name=Sultan Kudarat, country=Philippines, district=ARMM, population=94861}
City{name=Kendari, country=Indonesia, district=Sulawesi Tenggara, population=94800}
City{name=Pagakku (Pakokku), country=Myanmar, district=Magwe [Magway], population=94800}
City{name=Jaya Pura, country=Indonesia, district=West Irian, population=94700}
City{name=Laoag, country=Philippines, district=Ilocos, population=94466}
City{name=Nakhon Pathom, country=Thailand, district=Nakhon Pathom, population=94100}
City{name=Gorontalo, country=Indonesia, district=Sulawesi Utara, population=94058}
City{name=Bayugan, country=Philippines, district=Caraga, population=93623}
City{name=Malungon, country=Philippines, district=Southern Mindanao, population=93232}
City{name=Majalaya, country=Indonesia, district=West Java, population=93200}
City{name=Pondok Aren, country=Indonesia, district=West Java, population=92700}
City{name=Santa Cruz, country=Philippines, district=Southern Tagalog, population=92694}
City{name=Jombang, country=Indonesia, district=East Java, population=92600}
City{name=Sorsogon, country=Philippines, district=Bicol, population=92512}
City{name=Candelaria, country=Philippines, district=Southern Tagalog, population=92429}
City{name=Sunggal, country=Indonesia, district=Sumatera Utara, population=92300}
City{name=Batam, country=Indonesia, district=Riau, population=91871}
City{name=Padang Sidempuan, country=Indonesia, district=Sumatera Utara, population=91200}
City{name=Sawangan, country=Indonesia, district=West Java, population=91100}
City{name=Ligao, country=Philippines, district=Bicol, population=90603}
City{name=Banyuwangi, country=Indonesia, district=East Java, population=89900}
City{name=Tanjung Pinang, country=Indonesia, district=Riau, population=89900}
City{name=Dili, country=East Timor, district=Dili, population=47900}
City{name=Bandar Seri Begawan, country=Brunei, district=Brunei and Muara, population=21484}
