City{name=Hisar (Hissar), country=India, district=Haryana, population=172677}
City{name=Tiruvottiyur, country=India, district=Tamil Nadu, population=172562}
City{name=Sabzevar, country=Iran, district=Khorasan, population=170738}
City{name=Temirtau, country=Kazakstan, district=Qaraghandy, population=170500}
City{name=Barisal, country=Bangladesh, district=Barisal, population=170232}
City{name=Mirzapur-cum-Vindhyachal, country=India, district=Uttar Pradesh, population=169336}
City{name=Chiniot, country=Pakistan, district=Punjab, population=169300}
City{name=Tungi, country=Bangladesh, district=Dhaka, population=168702}
City{name=Secunderabad, country=India, district=Andhra Pradesh, population=167461}
City{name=Nadiad, country=India, district=Gujarat, population=167051}
City{name=Khomeynishahr, country=Iran, district=Esfahan, population=165888}
City{name=Dewas, country=India, district=Madhya Pradesh, population=164364}
City{name=Murwara (Katni), country=India, district=Madhya Pradesh, population=163431}
City{name=Khujand, country=Tajikistan, district=Khujand, population=161500}
City{name=Ganganagar, country=India, district=Rajasthan, population=161482}
City{name=Vizianagaram, country=India, district=Andhra Pradesh, population=160359}
City{name=Erode, country=India, district=Tamil Nadu, population=159232}
City{name=Machilipatnam (Masulipatam), country=India, district=Andhra Pradesh, population=159110}
City{name=Amol, country=Iran, district=Mazandaran, population=159092}
City{name=Bhatinda (Bathinda), country=India, district=Punjab, population=159042}
City{name=Neyshabur, country=Iran, district=Khorasan, population=158847}
City{name=Babol, country=Iran, district=Mazandaran, population=158346}
City{name=Biratnagar, country=Nepal, district=Eastern, population=157764}
City{name=Raichur, country=India, district=Karnataka, population=157551}
City{name=Qyzylorda, country=Kazakstan, district=Qyzylorda, population=157400}
City{name=Agartala, country=India, district=Tripura, population=157358}
City{name=Arrah (Ara), country=India, district=Bihar, population=157082}
City{name=Satna, country=India, district=Madhya Pradesh, population=156630}
City{name=Lalbahadur Nagar, country=India, district=Andhra Pradesh, population=155500}
City{name=Aizawl, country=India, district=Mizoram, population=155240}
City{name=Uluberia, country=India, district=West Bengali, population=155172}
City{name=Katihar, country=India, district=Bihar, population=154367}
City{name=Cuddalore, country=India, district=Tamil Nadu, population=153086}
City{name=Hugli-Chinsurah, country=India, district=West Bengali, population=151806}
City{name=Dhanbad, country=India, district=Jharkhand, population=151789}
City{name=Raiganj, country=India, district=West Bengali, population=151045}
City{name=Kamoke, country=Pakistan, district=Punjab, population=151000}
City{name=Sambhal, country=India, district=Uttar Pradesh, population=150869}
City{name=Durg, country=India, district=Chhatisgarh, population=150645}
City{name=Munger (Monghyr), country=India, district=Bihar, population=150112}
City{name=Kanchipuram, country=India, district=Tamil Nadu, population=150100}
City{name=North Dum Dum, country=India, district=West Bengali, population=149965}
City{name=Mandi Burewala, country=Pakistan, district=Punjab, population=149900}
